2026-04-08 17:30:35,559 - ERROR - ULTJ | AnnualReport2025-ULTJ-att1.pdf | https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202603/c54126fb3e_3bce7d5294.pdf | Server returned 403
2026-04-08 17:30:35,559 - ERROR - ULTJ | FinancialStatement-2025-Tahunan-ULTJ.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/ULTJ/FinancialStatement-2025-Tahunan-ULTJ.xlsx | Server returned 403
2026-04-08 17:30:35,676 - ERROR - TRIO | TRIO_-_LKT_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/TRIO/TRIO - LKT 2025.pdf | Server returned 403
2026-04-08 17:30:35,741 - ERROR - TRIO | inlineXBRL.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/TRIO/inlineXBRL.zip | Server returned 403
2026-04-08 17:30:35,744 - ERROR - TRIO | TRIO_-_Checklist_Pengungkapan_LKT_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/TRIO/TRIO - Checklist Pengungkapan LKT 2025.pdf | Server returned 403
2026-04-08 17:30:35,880 - ERROR - TRIO | TRIO_-_Penyampaian_LKT_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/TRIO/TRIO - Penyampaian LKT 2025.pdf | Server returned 403
2026-04-08 17:30:35,970 - ERROR - TRIO | instance.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/TRIO/instance.zip | Server returned 403
2026-04-08 17:30:39,581 - ERROR - ARII | instance.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/ARII/instance.zip | Server returned 403
2026-04-08 17:30:40,243 - ERROR - BIKE | FinancialStatement-2025-Tahunan-BIKE.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/BIKE/FinancialStatement-2025-Tahunan-BIKE.xlsx | Server returned 403
2026-04-08 17:30:40,552 - ERROR - BIKE | instance.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/BIKE/instance.zip | Server returned 403
2026-04-08 17:30:41,138 - ERROR - BIKE | AnnualReport2025-BIKE-att1.pdf | https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202603/f59fec7c7a_1bba18de83.pdf | Server returned 403
2026-04-08 17:30:41,138 - ERROR - BIKE | inlineXBRL.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/BIKE/inlineXBRL.zip | Server returned 403
2026-04-08 17:30:42,908 - ERROR - CBDK | CBDK_Checklist_Pengungkapan_LK_31_Dec_2025.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/CBDK/CBDK Checklist Pengungkapan LK 31 Dec 2025.pdf | Server returned 403
2026-04-08 17:30:42,909 - ERROR - CBDK | CBDK_Penjelasan_Perubahan_Pos_Ekuitas.pdf | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/CBDK/CBDK Penjelasan Perubahan Pos Ekuitas.pdf | Server returned 403
2026-04-08 17:30:43,148 - ERROR - CBDK | instance.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/CBDK/instance.zip | Server returned 403
2026-04-08 17:30:46,892 - ERROR - INPC | FinancialStatement-2025-Tahunan-INPC.xlsx | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/INPC/FinancialStatement-2025-Tahunan-INPC.xlsx | Server returned 403
2026-04-08 17:31:40,051 - ERROR - INPS | instance.zip | https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan/Laporan Keuangan Tahun 2025/Audit/INPS/instance.zip | Server returned 403
